721013950599577000,a beautiful day for some pomp edinborou edinboro edinboro university of pennsylvania,1,1
721213378249760000,a belated happy birthday to this bunshole the best bunshole of all bunsholes dont know what_,0,0
720736795969892000,a big thanks to reneeschacht for successfully submitting the gethype philly grant_,0,1
720735890256044000,a big thanks to reneeschacht for successfully submitting the gethype philly grant_,0,1
721135796065947000,a bit brisk out citizens bank park,1,1
721093528554708000,a bunch of pizzas left next one out at pizzeria beddia,0,1
721177921524736000,a combined choir sings oh happy day which was jackie robinsons favorite song._,0,0
721161206879244000,a curved mirror but also one that is folded back on itself with its impossible appropriation_,0,0
721128723865411000,a family that zoos together stays together pittsburgh zoo ppg aquarium,3,1
720738649642569000,a few more finished pictures of our s philly job saloon restaurant,0,1
720684428389965000,a fine day dilworth park,2,1
721144456016183000,a from my earlier with kelly drive park,3,2
720900881785294000,a gift i received on my phone from,3,1
721207094251282000,a good beer to drink while packing drinking a nugget nectar by death star,0,2
721152743419854000,a grand baby shower,6,1
721129651872079000,a hawk and a wildcat come together for one thing the same outfit saint_,1,1
720587894562418000,a little action please take all of this_,2,0
721013731631763000,a little before by for mumus_,7,0
720686075421835000,a little bit later but got my in it always clears my head camp hill pennsylvania,1,1
721283654714961000,a little fishie whispered in my ear wake up its first day of trout,1,0
721002238588551000,a little for possibly my last ever order soon to get some in time for,3,0
720654863156125000,a little lunch lol abraham lincoln hotel,2,1
721095013787152000,a man the parrot and in the background_,0,2
721122697556672000,a nice ipa drinking an outta focus double ipa by appalachian brewing company,1,2
721289783360819000,a perfect beer for a warm spring day drinking a nooner pilsner the fortress of solid brews,0,1
721137406594822000,a pic to prove that i do have more than one friend taco bell,0,1
721115651981516000,a premium with a pm,6,1
720712846355640000,a record player needs records marvelous records in philadelphia pa,0,1
721046354601111000,a slab of pork ribs from the world famous dwights bbq in norf philly ee aa aal day,0,1
721120391641632000,a tease for warm weather but we took advantage erie pennsylvania,0,1
721171014965530000,a toast and culinary experience in honor of my friend since i cant be where i want to be on_,0,0
720770416269205000,a true her beauty is astounding her presence is_,4,0
721013701365669000,a very good nitro stout drinking a scratch chocolate stout nitro by good ta go,0,2
721181304390316000,a visit from george torres drinking a miller lite by sector zz plural z alpha,0,2
721116342015954000,aa team left town,0,1
721119190552297000,abbath high on fire and skeletonwitch concert drinking a white magick of the sun at,0,1
721317272304766000,abm industries inc os general cleaner pa,5,0
721135033780736000,about to get life casted for the first time,2,1
720612096610689000,about to get this workout in with some help from la fitness,3,2
720685880621600000,about to take the field in a doubleheader vs philly u come check us out on campus_,1,0
721025032978345000,absolutely lovely brew with nice golden rich flavor goes down beer to drink music to,1,0
721202359574130000,academy of music,3,1
721121218670292000,acce with matt f.m kirby center,3,2
721119103696547000,accenture devops architect associate manager pa,6,0
720707749563109000,accident cleared in on baltimore st at hanover st,2,0
720655651173703000,accident cleared in on brodhead rd both at pleasant dr,2,0
721015686516969000,accident cleared in on n queen st nb between walnut st and w liberty st,2,0
720655838612881000,accident cleared in on pa51 sb at liberty tunnels,2,0
720662744093954000,accident cleared in on pa885 sb at b st,2,0
