1550731750,0,i think theres a problem with the isp in this area or something my connection go too slow to do anything online yesterday today
1550731779,0,nawong how do i go about getting access to idzr.org im dying to try it out
1550731783,0,nawong how do i go about getting access to idzr.org im dying to try it out
1550732158,0,talking to designers i cant squeeze any design juice from my brain for my personal website
1550732349,0,rainy day
1550732363,0,completely failed to upload my cute picture format too big
1550732513,0,hrm scanner traffic diminishes greatly when your public services are on strike
1550732570,0,doesnt have single pair of spring pants that fit
1550733255,0,tired of swollen hands they dont feel good
1550733399,0,wishing the sun would come through the clouds i can tell this is going to be one of those days
1550733919,0,the spring is now finished and im going back to school tommorow
1550734185,0,dizzy i am not feeling well today
1550734197,0,at opening daythe commerce bank mascot just walked by the bank is changing its namewill the lose its job
1550734334,0,its raining outside and the forecast say rain all day crappy start to the weekend
1550734449,0,been up since an annoyingly early hour for a saturday laying in bed attempting to fall back to sleep it is evading me
1550734506,0,if i could offer you only one tip for the future sunscreen would be it should have read the mary schmich book ouch
1550734881,0,softball in eureka its raining here maybe not there eureka it is raining there no more fun in the sun
1550735131,0,settling down enjoying my cup of rooibos tea tweeting missing captain c already
1550735656,0,USER_MENTION sorry to hear that hope you get well soon
1550735772,0,didnt know that twitter screen names had to be that short englishsenseicafe didnt quit fit
1550735807,0,USER_MENTION i want to be outside working in the garden but its raining and im sick
1550736190,0,oh crap came back from my walk and computer had hung again with black screen restarted and corrupted graphics again even during post
1550736359,0,argh hate how forums dont let you delete posts
1550736610,0,urgh im tired impatient and over boys and their silly games
1550749726,0,i am up at in the morning when i could have slept in
1550749862,0,USER_MENTION sorry to hear that but at least youre with us now readathon
1550750162,0,i broke the vibrate on my fone
1550750236,0,race was good ran better than last time didnt see USER_MENTION or USER_MENTION though
1550750886,0,USER_MENTION i just got home but really didnt want to was nothing to do out there
1550750986,0,USER_MENTION i know
1550751304,0,work until blah
1550751546,0,USER_MENTION i wish i was there participate
1550751610,0,the URL site if down i believe it shows a server unavailable error whats the issue
1550751619,0,fhrjekdfnb where are youu
1550751726,0,i hate myself for not doing my homework now oh ya had a pedi today lol i want a blackberry to tweet ok im not gonna tweet again
1550751893,0,at last night
1550752521,0,another gorgeous day dry here need the four rain days coming up ct wildfire
1550752610,0,USER_MENTION nataliee i love you and still have your bday gift i must see you soon
1550752882,0,i feel really sucky right now
1550752908,0,got most the way to asda and road closed due to am accident driving to other now so hungry
1550753123,0,is sitting on the couch when she should be working out
1550753269,0,i have work to do i will be back l8r i hope
1550753417,0,i figure out how to twitter from my phone
1550753560,0,stuck without a ride taking the bus home from work without an ipod
1550753599,0,USER_MENTION alas no is a the setup
1550753657,0,USER_MENTION we got rachel getting married and seven pounds wanted yes man but it wasnt in the red box we went too
1550753679,0,ugh i hate working saturdays that makes this week it never feels like i have a weekend
1550753820,0,aand there goes that great day rip mrs wever
1550753871,0,motel do not have shampoos or conditioners no blow dryers either
1550754290,0,my vacations almost done back to work soon
1550754770,0,more followers til not happenin anytime soon
1550754856,0,bummer cant get in to see my bf sing at the ernie els gig so i guess its just you me and my dog pockles tonight
1550755020,0,its saturday and im holed up at home writing essays that were due weeks ago and the weather is actually good time in weeks
1550755280,0,is still gutted she couldnt see diana sing last night but bring on halmiton park in july
1550755569,0,starting to be far too many spamers and bullshit followers on twitter i tweet about moving furniture and furniture companys follow me
1550755588,0,funtime over back to the painting
1550755728,0,USER_MENTION i couldnt walk last night like wth
1550755863,0,snow mounted up to a couple of inches overnight very pretty but i hope i dont lose my peaches tree was in bloom
1550756444,0,USER_MENTION still dont have the confirmation email technically i could give up already EMO_POS
1550756528,0,USER_MENTION a tenner what a bloody cop out
1550756646,0,USER_MENTION URL i miss your old hairstyle daniel but you still look great
1550756901,0,headed a performance outside n the rain if i do the rain dance backwards will that make it stop
1550757151,0,i wanna get dvds i hope there is a good dvd store here im a dvdaholic and an alcoholic
1550757610,0,i feel ridiculous and im blaming you why hjsdkfsdhfjsd
1550757690,0,everyone is talking about britneys concerts i want to go
1550757841,0,gmornin have headache pls depart veggin chai b4 i have to wrap my head around the day
1550758149,0,listening to mariah carey we belong together
1550758152,0,USER_MENTION i am so sorry you have to work on a saturday
1550758182,0,goodmorning it sucks having a cold when its degrees outside
1550758332,0,USER_MENTION are you sleeping in or something im missing our friendly twitter banter u were so right about it was fknfantastk
1550758555,0,im being turned off
1550758595,0,alright well i spent all of yesterday again far away from my computer but today today i shall come back to twitter and all of you
1550758753,0,USER_MENTION ok la at least USER_MENTION is following me jadilah
1550758772,0,just woke up soo tired
1550758819,0,going to disneyland super stoked already missin the bf though
1550759072,0,anyone tell me why i cant sleep for some reason maybe i should try again
